,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,Neural Net,AdaBoost,Naive Bayes,QDA,SGD
0,"[0.8571428571428571, 0.7, 0.65, 0.65, 0.75]","[0.9047619047619048, 0.7, 0.8, 0.8, 0.85]","[0.2857142857142857, 0.5, 0.45, 0.5, 0.25]","[0.38095238095238093, 0.2, 0.25, 0.3, 0.4]","[0.5714285714285714, 0.55, 0.7, 0.35, 0.6]","[0.8571428571428571, 0.7, 0.65, 0.65, 0.95]","[0.8095238095238095, 0.7, 0.6, 0.65, 0.7]","[0.5714285714285714, 0.5, 0.6, 0.5, 0.4]","[0.7619047619047619, 0.6, 0.7, 0.55, 0.85]","[0.6190476190476191, 0.35, 0.45, 0.55, 0.45]","[0.9047619047619048, 0.75, 0.7, 0.85, 0.85]"
1,"[0.8767006802721088, 0.8, 0.6538636363636364, 0.7166666666666667, 0.8]","[0.9285714285714286, 0.7642857142857142, 0.8104166666666666, 0.8150000000000001, 0.90625]","[0.08163265306122448, 0.25, 0.20249999999999999, 0.25, 0.0625]","[0.14512471655328799, 0.04, 0.0625, 0.09, 0.16]","[0.5619047619047619, 0.5791666666666667, 0.7066666666666667, 0.36666666666666664, 0.6373015873015874]","[0.9047619047619048, 0.8174603174603174, 0.65, 0.64, 0.9583333333333334]","[0.8442932728647015, 0.7044871794871794, 0.44835164835164837, 0.7076923076923076, 0.8012987012987013]","[0.5818181818181818, 0.4716666666666667, 0.6986363636363636, 0.5166666666666666, 0.42727272727272725]","[0.7817460317460319, 0.64, 0.7025, 0.55, 0.8729166666666666]","[0.653212396069539, 0.18522727272727274, 0.6821428571428572, 0.5631578947368421, 0.6104166666666666]","[0.9285714285714286, 0.7735714285714286, 0.7041666666666666, 0.8846153846153847, 0.8848214285714284]"
2,"[0.8571428571428571, 0.7, 0.65, 0.65, 0.75]","[0.9047619047619048, 0.7, 0.8, 0.8, 0.85]","[0.2857142857142857, 0.5, 0.45, 0.5, 0.25]","[0.38095238095238093, 0.2, 0.25, 0.3, 0.4]","[0.5714285714285714, 0.55, 0.7, 0.35, 0.6]","[0.8571428571428571, 0.7, 0.65, 0.65, 0.95]","[0.8095238095238095, 0.7, 0.6, 0.65, 0.7]","[0.5714285714285714, 0.5, 0.6, 0.5, 0.4]","[0.7619047619047619, 0.6, 0.7, 0.55, 0.85]","[0.6190476190476191, 0.35, 0.45, 0.55, 0.45]","[0.9047619047619048, 0.75, 0.7, 0.85, 0.85]"
3,"[0.8574219431362289, 0.6933333333333334, 0.6453030303030303, 0.67, 0.7520104895104895]","[0.9081458224315365, 0.7120320855614973, 0.8024064171122994, 0.7987012987012987, 0.85]","[0.126984126984127, 0.3333333333333333, 0.2793103448275862, 0.3333333333333333, 0.1]","[0.21018062397372742, 0.06666666666666668, 0.1, 0.13846153846153847, 0.2285714285714286]","[0.5544035796136636, 0.5577777777777777, 0.7, 0.3487782805429864, 0.5854166666666667]","[0.8549450549450549, 0.7160180995475114, 0.65, 0.6389610389610388, 0.9506060606060606]","[0.8044871794871795, 0.6855900621118012, 0.5118881118881119, 0.6478260869565217, 0.6405555555555555]","[0.5538905538905539, 0.4737373737373738, 0.593392857142857, 0.4965079365079365, 0.38888888888888884]","[0.7619047619047619, 0.6139712918660287, 0.6982456140350876, 0.54, 0.8513419913419913]","[0.6185897435897436, 0.2352380952380952, 0.38166666666666665, 0.4305418719211823, 0.4648164335664335]","[0.9081458224315365, 0.7434173669467786, 0.6994652406417112, 0.8462111801242237, 0.8426923076923076]"
